Nombre,Macro,Contact Reason 
[ACQ] - Registro: ¿Puedo utilizar mi tarjeta débito para retiros en el exterior?,"Sí, puedes hacer retiros en efectivo con tu tarjeta débito Nu en una gran cantidad de cajeros electrónicos de la red Mastercard a nivel nacional o internacional. Ten presente que el **límite para avances internacionales sería la equivalencia, en la moneda del país donde se haga el avance, de los $2.700.000,00 COP**, en un lapso de 24 horas. No obstante, es importante aclarar que la entidad bancaria extranjera en donde se haga el avance, puede manejar un límite diferente. Cada retiro en efectivo tiene un costo de **$6.800 pesos**. Además, es posible que Mastercard cobre una tasa de conversión del 0,45% sobre el valor del avance. Recuerda que los **cajeros automáticos nacionales o internacionales**, dependiendo de la entidad bancaria, podrían cobrar **tarifas adicionales** que no corresponden a las de Nu. Por otro lado, recuerda que tienes la posibilidad de realizar una transferencia a otra cuenta de ahorros de manera gratuita.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Registro:¿Qué diferencia tienen Bre-B y Redeban?,"En la siguiente tabla te contamos las diferencias principales: Transferencias con llaves de Redeban: Ya está disponible en Nu. Permite pagos rápidos entre bancos como Bancolombia, Nequi, y otros que usan Redeban. Para usarlo, debes registrar tus llaves (como tu celular, email, documento de identidad o Llave Nu) en el app de Nu, bajo la sección “Tus llaves”, y luego simplemente compartirlas con la persona que te hará el pago. Redeban y sus entidades gestionan este sistema. Bre-B: Planeado para comenzar en el segundo semestre de 2025, bajo la gestión del Banco de la República. Este sistema tiene como objetivo centralizar y unificar los pagos inmediatos en Colombia, involucrando a todos los bancos participantes. Las llaves para este sistema serán gestionadas por cada banco una vez que esté operativo. Similar al sistema de Redeban, funcionará mediante el uso de llaves compartidas para hacer transferencias. El Banco de la República se encargará de su administración. Si tenías registradas tus llaves en Redeban, debes confirmar tus llaves a Bre-B para que de esta forma puedas hacer tus transferencias inmediatas",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Registro:¿Qué diferencia tienen Bre-B y Redeban?,"Hola, XXXXX. Gracias por contactar a Nu. Esperamos que te encuentres muy bien. “Bre-B”, desarrollado por el Banco de la República, permite que diferentes sistemas inmediatos como Redeban operen entre sí. En la siguiente tabla te contamos las diferencias principales: Transferencias con llaves de Redeban: Ya está disponible en Nu. Permite pagos rápidos entre bancos como Bancolombia, Nequi, y otros que usan Redeban. Para usarlo, debes registrar tus llaves (como tu celular, email, documento de identidad o Nu Placa) en el app de Nu, bajo la sección “Tus llaves”, y luego simplemente compartirlas con la persona que te hará el pago. Redeban y sus entidades gestionan este sistema. Bre-B: Planeado para comenzar en el segundo semestre de 2025, bajo la gestión del Banco de la República. Este sistema tiene como objetivo centralizar y unificar los pagos inmediatos en Colombia, involucrando a todos los bancos participantes. Las llaves para este sistema serán gestionadas por cada banco una vez que esté operativo. Similar al sistema de Redeban, funcionará mediante el uso de llaves compartidas para hacer transferencias. El Banco de la República se encargará de su administración. Si tenías registradas tus llaves en Redeban, debes confirmar tus llaves a Bre-B para que de esta forma puedas hacer tus transferencias inmediatas Para conocer más acerca de las llaves de identificación para pagos inmediatos, visita nuestro blog: https://blog.nu.com.co/llaves-de-identificacion-para-pagos-inmediatos/. Si tienes cualquier otra inquietud, no dudes en contactarnos nuevamente a través de nuestros canales oficiales de atención al cliente 24/7. Un abrazo, Equipo Nu. En Nu valoramos tu opinión y siempre buscamos mejorar nuestro servicio. En 24 horas, recibirás una encuesta en tu App donde podrás comentarnos, en una escala del 0 al 10, qué tanto recomendarías Nu, siendo: 1) 0 a 6: ""No nos recomendarías"" 2) 7 a 8: ""Quizá nos recomendarías"" 3) 9 a 10: ""Nos recomendarías totalmente"". ¡Te deseamos un gran día y recuerda que tenemos servicio 24/7 para apoyarte en lo que necesites!",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: D+35: Me llego un mensaje de que perderé el acceso a mis productos Nu por no aceptar la Política ¿Por qué?,"Hola, {{ticket.requester.first_name}}, Gracias por contactar a Nu Colombia. Esperamos que estés muy bien. Para nosotros es muy importante contar con tu autorización, para seguir tratando tus datos personales conforme a nuestra nueva Política de Tratamiento de Datos Personales, es por ello, que es necesario que la revises y aceptes, para que puedas usar tus productos Nu sin problemas. Un abrazo, Equipo Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: D+35: Me llego un mensaje de que perderé el acceso a mis productos Nu por no aceptar la Política ¿Por qué?,"Para nosotros es muy importante contar con tu autorización, para seguir tratando tus datos personales conforme a nuestra nueva Política de Tratamiento de Datos Personales, es por ello, que es necesario que la revises y aceptes, para que puedas usar tus productos Nu sin problemas.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: ¿Cuál es la diferencia entre la Política de datos del 2024 y del 2025?,"Queremos contarte que actualizamos nuestra Política de Tratamiento de Datos Personales para darte mayor claridad sobre cómo usamos tu información y reforzar nuestro compromiso con tu privacidad. ¿Qué cambia con esta nueva versión? 1️⃣Incluimos la finalidad para habilitar la funcionalidad de pagos inmediatos a través de sistemas de pagos inmediatos, incluyendo la incorporación, actualización y consulta de tu información en el Directorio Federado y el Directorio Centralizado, de acuerdo con la regulación aplicable. 2️⃣Explicamos mejor qué datos recolectamos y para qué los usamos, incluida la información que requerimos de los medios y canales a través de los cuales usas y accedes a los servicios ofrecidos por NU. 3️⃣Te contamos cómo protegemos tu información cuando usamos herramientas como inteligencia artificial. 4️⃣Reforzamos las medidas de seguridad y confidencialidad de tus datos, y la información que utilizamos de tus hábitos y dispositivos a través de los que accedes para prevención del fraude. 5️⃣Reiteramos tus derechos, ante quién y cómo puedes ejercerlos fácilmente a través nuestros canales de atención dispuestos para estos efectos.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: ¿Cuál es la diferencia entre la Política de datos del 2024 y del 2025?,"Hola, {{ticket.requester.first_name}}, Gracias por contactar a Nu Colombia. Esperamos que estés muy bien. Queremos contarte que actualizamos nuestra Política de Tratamiento de Datos Personales para darte mayor claridad sobre cómo usamos tu información y reforzar nuestro compromiso con tu privacidad. ¿Qué cambia con esta nueva versión? 1. Incluimos la finalidad para habilitar la funcionalidad de pagos inmediatos a través de sistemas de pagos inmediatos, incluyendo la incorporación, actualización y consulta de tu información en el Directorio Federado y el Directorio Centralizado, de acuerdo con la regulación aplicable. 2. Explicamos mejor qué datos recolectamos y para qué los usamos, incluida la información que requerimos de los medios y canales a través de los cuales usas y accedes a los servicios ofrecidos por NU. 3. Te contamos cómo protegemos tu información cuando usamos herramientas como inteligencia artificial. 4. Reforzamos las medidas de seguridad y confidencialidad de tus datos, y la información que utilizamos de tus hábitos y dispositivos a través de los que accedes para prevención del fraude. 5. Reiteramos tus derechos, ante quién y cómo puedes ejercerlos fácilmente a través nuestros canales de atención dispuestos para estos efectos. Un abrazo, Equipo Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: ¿Cómo puedo aceptar la Política de Tratamiento de Datos 2025?,"¡Hola! {{ticket.requester.first_name}}, Gracias por contactar a Nu Colombia. Esperamos que estés muy bien. Puedes leer y aceptar nuestra nueva Política de Tratamiento de Datos, de las siguientes formas: Al ingresar a tu App Nu, te aparecerá un anuncio con la nueva Política de Tratamiento de Datos Personales, para que la revises y aceptes. Si este anuncio lo saltaste para más tarde, podrás acceder a revisar la política, mediante: El correo electrónico, lo puedes encontrar en tu bandeja de mensajes como: “Conoce y autoriza la nueva política de tratamiento de datos personales”; en el cuerpo del correo, encontrarás un botón que dice “Revisar y aceptar”. Notificación en la App Nu, la puede encontrar en el icono de usuario ‘👤’ que está en la parte superior izquierda de la aplicación; selecciona la opción de “Notificaciones” y luego busca el mensaje que diga “¡Tu privacidad importa!”. Ambas opciones te redireccionan al anuncio de la Política de Tratamiento de Datos Personales, para que la puedas leer y aceptar. Un abrazo, Equipo Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: ¿Cómo puedo aceptar la Política de Tratamiento de Datos 2025?,"Puedes leer y aceptar nuestra nueva Política de Tratamiento de Datos, de las siguientes formas: 1. Al ingresar a tu App Nu, te aparecerá un anuncio con la nueva Política de Tratamiento de Datos Personales, para que la revises y aceptes. 2. Si este anuncio lo saltaste para más tarde, podrás acceder a revisar la política, mediante: - El correo electrónico, lo puedes encontrar en tu bandeja de mensajes como: “Conoce y autoriza la nueva política de tratamiento de datos personales”; en el cuerpo del correo, encontrarás un botón que dice “Revisar y aceptar”. - Notificación en la App Nu, la puede encontrar en el icono de usuario ‘👤’ que está en la parte superior izquierda de la aplicación; selecciona la opción de “Notificaciones” y luego busca el mensaje que diga “¡Tu privacidad importa!”. Ambas opciones te redireccionan al anuncio de la Política de Tratamiento de Datos Personales, para que la puedas leer y aceptar.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: ¿Por qué debo aceptar esta nueva Política de Tratamiento de Datos?,"Tú tienes el control de la información que compartes con nosotros, y aceptarla es clave para seguir usando tus productos Nu sin preocupaciones. Nuestra Política de Tratamiento de Datos Personales te explica que datos recopilamos, como la usamos y como la mantenemos segura en Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
