Nombre de la Weduka ,Enlace,Afiliación
Ruta de activación de productos,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4111,Vanguard/Venus
Dudas de prospectos sobre la Adquisición de CDTs,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4110,Vanguard/Venus
Gestión de correos en Zendesk ,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4107,Vanguard/Venus
FoN: Criterios de aprobación y validación de selfies,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4101,Vanguard/Venus
Pagarés ,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4104,Vanguard/Venus
FoN: Invalidación de documentos y sospecha de fraude,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4252,Vanguard/Venus
FoN-Documentos Rechazados FoN Low Risk,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4098,Vanguard/Venus
Experiencia cross-sell en Nu,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4112,Vanguard/Venus
Pantalla principal de la App ,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4089,Vanguard/Venus
Cancelación de la invitación a Nu para prospectos,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4109,Vanguard/Venus
FoN: Documentos aceptados FoN Low Risk,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4253,Vanguard/Venus
¿Cómo escalar Secondary Jobs desde Shuffle?,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4026,Vanguard/Venus
Características básicas de la cédula amarilla.,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4105,Vanguard/Venus
FoN: Conceptos generales de Fraud or Not Low Risk ,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4106,Vanguard/Venus
Gestión de Contact Reasons tercerizadas ,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4146,Vanguard/Venus
Inscripción y registro al mundo Nu,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4021,Vanguard/Venus
Piloto: ¡Impulsa tus Metas! / Test MGM ,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4103,Vanguard/Venus
Flujo de registro: Tarjeta de Crédito NuControl,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4310,Vanguard/Venus
Campaña: Cajitas para mi Gente,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4254,Vanguard/Venus
QA Process,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4288,Vanguard/Venus
Inconvenientes en el proceso de adquisición,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4366,Vanguard/Venus
PEPs - Tag REQUESTED_PEP_INFO,https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4375,Vanguard/Venus
